date;ticker;price
01/07/2016;ELSA;484.118.042
01/08/2016;ELSA;452.446.777
01/09/2016;ELSA;412.631.439
01/10/2016;ELSA;410.821.655
01/11/2016;ELSA;383.674.835
01/12/2016;ELSA;380.055.267
01/01/2017;ELSA;390.914.001
01/02/2017;ELSA;387.294.434
01/03/2017;ELSA;351.098.694
01/04/2017;ELSA;342.049.774
01/05/2017;ELSA;278.707.214
01/06/2017;ELSA;251.395.477
01/07/2017;ELSA;245.890.457
01/08/2017;ELSA;233.045.441
01/09/2017;ELSA;278.920.502
01/10/2017;ELSA;282.590.546
01/11/2017;ELSA;344.980.652
01/12/2017;ELSA;341.310.638
01/01/2018;ELSA;390.855.713
01/02/2018;ELSA;463.338.348
01/03/2018;ELSA;427.555.817
01/04/2018;ELSA;387.185.730
01/05/2018;ELSA;376.175.690
01/06/2018;ELSA;311.816.345
01/07/2018;ELSA;330.376.862
01/08/2018;ELSA;335.945.007
01/09/2018;ELSA;345.225.250
01/10/2018;ELSA;348.937.347
01/11/2018;ELSA;285.831.665
01/12/2018;ELSA;319.240.540
01/01/2019;ELSA;337.801.056
01/02/2019;ELSA;341.513.153
01/03/2019;ELSA;334.088.959
01/04/2019;ELSA;358.217.590
01/05/2019;ELSA;330.584.320
01/06/2019;ELSA;359.082.977
01/07/2019;ELSA;341.983.765
01/08/2019;ELSA;328.684.418
01/09/2019;ELSA;303.985.565
01/10/2019;ELSA;298.285.858
01/11/2019;ELSA;258.387.726
01/12/2019;ELSA;290.686.218
01/01/2020;ELSA;258.387.726
01/02/2020;ELSA;197.590.622
01/03/2020;ELSA;143.443.192
01/04/2020;ELSA;186.191.162
01/05/2020;ELSA;187.141.113
01/06/2020;ELSA;208.990.082
01/07/2020;ELSA;216.589.722
01/08/2020;ELSA;244.000.000
01/09/2020;ELSA;194.000.000
01/10/2020;ELSA;212.000.000
01/11/2020;ELSA;294.000.000
01/12/2020;ELSA;352.000.000
01/01/2021;ELSA;358.000.000
01/02/2021;ELSA;402.000.000
01/03/2021;ELSA;344.000.000
01/04/2021;ELSA;356.000.000
01/05/2021;ELSA;304.000.000
01/06/2021;ELSA;316.000.000
01/07/2016;RALS;1.033.884.277
01/08/2016;RALS;1.055.157.349
01/09/2016;RALS;936.026.794
01/10/2016;RALS;1.165.778.931
01/11/2016;RALS;1.012.610.779
01/12/2016;RALS;1.016.865.479
01/01/2017;RALS;1.140.250.854
01/02/2017;RALS;1.114.722.778
01/03/2017;RALS;948.790.710
01/04/2017;RALS;1.084.940.186
01/05/2017;RALS;1.106.213.501
01/06/2017;RALS;1.072.081.909
01/07/2017;RALS;827.034.668
01/08/2017;RALS;883.920.593
01/09/2017;RALS;787.651.978
01/10/2017;RALS;800.779.602
01/11/2017;RALS;875.168.884
01/12/2017;RALS;1.050.202.637
01/01/2018;RALS;1.023.947.632
01/02/2018;RALS;1.032.699.219
01/03/2018;RALS;1.181.478.027
01/04/2018;RALS;1.247.115.723
01/05/2018;RALS;1.194.605.591
01/06/2018;RALS;1.304.001.709
01/07/2018;RALS;1.263.650.024
01/08/2018;RALS;1.142.231.689
01/09/2018;RALS;1.169.213.623
01/10/2018;RALS;1.070.280.029
01/11/2018;RALS;1.070.280.029
01/12/2018;RALS;1.277.140.991
01/01/2019;RALS;1.412.050.293
01/02/2019;RALS;1.573.941.406
01/03/2019;RALS;1.573.941.406
01/04/2019;RALS;1.605.420.166
01/05/2019;RALS;1.457.020.020
01/06/2019;RALS;1.268.147.095
01/07/2019;RALS;1.245.370.361
01/08/2019;RALS;1.120.370.361
01/09/2019;RALS;1.115.740.723
01/10/2019;RALS;1.083.333.374
01/11/2019;RALS;939.814.819
01/12/2019;RALS;986.111.084
01/01/2020;RALS;990.740.723
01/02/2020;RALS;958.333.313
01/03/2020;RALS;431.481.476
01/04/2020;RALS;532.407.410
01/05/2020;RALS;527.777.771
01/06/2020;RALS;550.925.903
01/07/2020;RALS;523.148.132
01/08/2020;RALS;606.481.445
01/09/2020;RALS;530.000.000
01/10/2020;RALS;575.000.000
01/11/2020;RALS;730.000.000
01/12/2020;RALS;775.000.000
01/01/2021;RALS;645.000.000
01/02/2021;RALS;730.000.000
01/03/2021;RALS;780.000.000
01/04/2021;RALS;775.000.000
01/05/2021;RALS;650.000.000
01/06/2021;RALS;710.000.000
01/07/2016;BBRI;1.963.911.987
01/08/2016;BBRI;1.985.212.646
01/09/2016;BBRI;2.078.935.059
01/10/2016;BBRI;2.078.935.059
01/11/2016;BBRI;1.857.409.180
01/12/2016;BBRI;1.989.472.900
01/01/2017;BBRI;1.997.992.920
01/02/2017;BBRI;2.036.334.106
01/03/2017;BBRI;2.210.998.779
01/04/2017;BBRI;2.271.989.990
01/05/2017;BBRI;2.549.384.033
01/06/2017;BBRI;2.685.879.639
01/07/2017;BBRI;2.602.220.947
01/08/2017;BBRI;2.663.864.258
01/09/2017;BBRI;2.690.282.715
01/10/2017;BBRI;2.747.522.705
01/11/2017;BBRI;2.826.778.076
01/12/2017;BBRI;3.205.443.115
01/01/2018;BBRI;3.258.280.273
01/02/2018;BBRI;3.328.729.492
01/03/2018;BBRI;3.170.218.506
01/04/2018;BBRI;2.835.584.473
01/05/2018;BBRI;2.795.180.420
01/06/2018;BBRI;2.577.374.268
01/07/2018;BBRI;2.786.105.225
01/08/2018;BBRI;2.885.933.350
