date,ticker,price
13/06/2016,BBRI,1.746.646.240
20/06/2016,BBRI,1.755.166.382
27/06/2016,BBRI,1.831.848.633
04/07/2016,BBRI,1.831.848.633
11/07/2016,BBRI,1.959.652.100
18/07/2016,BBRI,1.946.871.460
25/07/2016,BBRI,1.963.911.987
01/08/2016,BBRI,2.040.593.994
08/08/2016,BBRI,2.036.334.106
15/08/2016,BBRI,2.044.854.126
22/08/2016,BBRI,2.002.253.052
29/08/2016,BBRI,1.980.952.515
05/09/2016,BBRI,2.002.253.052
12/09/2016,BBRI,2.032.073.975
19/09/2016,BBRI,2.057.634.521
26/09/2016,BBRI,2.078.935.059
03/10/2016,BBRI,2.040.593.994
10/10/2016,BBRI,2.083.195.313
17/10/2016,BBRI,2.083.195.313
24/10/2016,BBRI,2.078.935.059
31/10/2016,BBRI,2.113.015.869
07/11/2016,BBRI,2.040.593.994
14/11/2016,BBRI,1.959.652.100
21/11/2016,BBRI,1.861.669.312
28/11/2016,BBRI,1.925.571.045
05/12/2016,BBRI,1.955.391.968
12/12/2016,BBRI,1.921.310.913
19/12/2016,BBRI,1.853.149.170
26/12/2016,BBRI,1.989.472.900
02/01/2017,BBRI,2.061.894.775
09/01/2017,BBRI,2.036.334.106
16/01/2017,BBRI,2.010.773.071
23/01/2017,BBRI,1.997.992.920
30/01/2017,BBRI,2.044.854.126
06/02/2017,BBRI,2.049.114.502
13/02/2017,BBRI,1.993.732.788
20/02/2017,BBRI,2.036.334.106
27/02/2017,BBRI,2.019.293.457
06/03/2017,BBRI,2.057.634.521
13/03/2017,BBRI,2.215.258.545
20/03/2017,BBRI,2.240.819.580
27/03/2017,BBRI,2.285.199.463
03/04/2017,BBRI,2.298.408.691
10/04/2017,BBRI,2.236.765.625
17/04/2017,BBRI,2.276.393.311
24/04/2017,BBRI,2.271.989.990
01/05/2017,BBRI,2.452.516.357
08/05/2017,BBRI,2.470.128.662
15/05/2017,BBRI,2.553.787.354
22/05/2017,BBRI,2.505.353.271
29/05/2017,BBRI,2.597.817.871
05/06/2017,BBRI,2.531.771.729
12/06/2017,BBRI,2.584.608.643
19/06/2017,BBRI,2.685.879.639
26/06/2017,BBRI,2.685.879.639
03/07/2017,BBRI,2.650.655.029
10/07/2017,BBRI,2.606.624.023
17/07/2017,BBRI,2.584.608.643
24/07/2017,BBRI,2.553.787.354
31/07/2017,BBRI,2.628.639.893
07/08/2017,BBRI,2.641.848.877
14/08/2017,BBRI,2.668.267.334
21/08/2017,BBRI,2.694.685.791
28/08/2017,BBRI,2.663.864.258
04/09/2017,BBRI,2.641.848.877
11/09/2017,BBRI,2.615.430.420
18/09/2017,BBRI,2.760.731.934
25/09/2017,BBRI,2.690.282.715
02/10/2017,BBRI,2.707.895.264
09/10/2017,BBRI,2.703.492.188
16/10/2017,BBRI,2.751.925.781
23/10/2017,BBRI,2.747.522.705
30/10/2017,BBRI,2.817.972.168
06/11/2017,BBRI,2.888.421.631
13/11/2017,BBRI,2.897.227.539
20/11/2017,BBRI,2.950.064.697
27/11/2017,BBRI,2.826.778.076
04/12/2017,BBRI,2.967.677.002
11/12/2017,BBRI,2.985.289.551
18/12/2017,BBRI,3.046.932.617
25/12/2017,BBRI,3.205.443.115
01/01/2018,BBRI,3.161.412.598
08/01/2018,BBRI,3.117.381.592
15/01/2018,BBRI,3.187.830.811
22/01/2018,BBRI,3.390.372.803
29/01/2018,BBRI,3.293.504.883
05/02/2018,BBRI,3.267.086.426
12/02/2018,BBRI,3.381.566.406
19/02/2018,BBRI,3.337.535.889
26/02/2018,BBRI,3.337.535.889
05/03/2018,BBRI,3.249.474.121
12/03/2018,BBRI,3.240.667.969
19/03/2018,BBRI,3.170.218.506
26/03/2018,BBRI,3.170.218.506
02/04/2018,BBRI,3.064.544.678
09/04/2018,BBRI,3.221.718.018
16/04/2018,BBRI,3.321.545.654
23/04/2018,BBRI,3.167.266.357
30/04/2018,BBRI,2.749.804.443
07/05/2018,BBRI,2.867.782.471
14/05/2018,BBRI,2.668.126.709
21/05/2018,BBRI,2.831.481.445
28/05/2018,BBRI,2.795.180.420
04/06/2018,BBRI,2.849.631.836
11/06/2018,BBRI,2.849.631.836
18/06/2018,BBRI,2.704.427.979
25/06/2018,BBRI,2.577.374.268
02/07/2018,BBRI,2.577.374.268
09/07/2018,BBRI,2.695.352.783
16/07/2018,BBRI,2.704.427.979
23/07/2018,BBRI,2.804.255.859
30/07/2018,BBRI,3.022.062.012
06/08/2018,BBRI,3.076.513.428
13/08/2018,BBRI,2.767.954.834
20/08/2018,BBRI,2.967.610.352
27/08/2018,BBRI,2.885.933.350
03/09/2018,BBRI,2.749.804.443
10/09/2018,BBRI,2.786.105.225
17/09/2018,BBRI,2.831.481.445
24/09/2018,BBRI,2.858.707.520
01/10/2018,BBRI,2.704.427.979
08/10/2018,BBRI,2.677.202.393
15/10/2018,BBRI,2.740.729.004
22/10/2018,BBRI,2.713.503.174
29/10/2018,BBRI,2.976.685.791
05/11/2018,BBRI,3.031.137.207
12/11/2018,BBRI,3.167.266.357
19/11/2018,BBRI,3.158.191.162
26/11/2018,BBRI,3.285.244.629
03/12/2018,BBRI,3.285.244.629
10/12/2018,BBRI,3.339.696.533
17/12/2018,BBRI,3.285.244.629
24/12/2018,BBRI,3.321.545.654
31/12/2018,BBRI,3.321.545.654
07/01/2019,BBRI,3.385.072.510
14/01/2019,BBRI,3.466.750.000
21/01/2019,BBRI,3.430.448.975
28/01/2019,BBRI,3.557.502.441
04/02/2019,BBRI,3.530.276.611
11/02/2019,BBRI,3.421.373.535
18/02/2019,BBRI,3.539.352.051
25/02/2019,BBRI,3.512.125.977
04/03/2019,BBRI,3.493.975.586
11/03/2019,BBRI,3.584.728.516
18/03/2019,BBRI,3.675.480.957
25/03/2019,BBRI,3.729.932.373
01/04/2019,BBRI,3.875.136.475
08/04/2019,BBRI,3.911.437.744
15/04/2019,BBRI,4.047.566.895
22/04/2019,BBRI,3.929.588.379
29/04/2019,BBRI,3.974.964.600
06/05/2019,BBRI,3.739.007.568
13/05/2019,BBRI,3.439.523.926
20/05/2019,BBRI,3.493.975.586
27/05/2019,BBRI,3.853.139.160
03/06/2019,BBRI,3.853.139.160
10/06/2019,BBRI,3.975.312.012
17/06/2019,BBRI,4.097.484.863
24/06/2019,BBRI,4.097.484.863
01/07/2019,BBRI,4.135.076.172
08/07/2019,BBRI,4.238.453.125
15/07/2019,BBRI,4.210.259.277
22/07/2019,BBRI,4.172.667.480
29/07/2019,BBRI,4.182.065.918
05/08/2019,BBRI,4.069.291.016
12/08/2019,BBRI,3.956.516.113
19/08/2019,BBRI,3.834.343.506
26/08/2019,BBRI,4.012.903.320
02/09/2019,BBRI,4.012.903.320
09/09/2019,BBRI,4.050.495.361
16/09/2019,BBRI,3.909.526.611
23/09/2019,BBRI,3.928.322.266
30/09/2019,BBRI,3.712.170.654
07/10/2019,BBRI,3.683.977.051
14/10/2019,BBRI,3.918.924.561
21/10/2019,BBRI,3.975.312.012
28/10/2019,BBRI,3.928.322.266
04/11/2019,BBRI,3.749.762.207
11/11/2019,BBRI,3.843.741.455
18/11/2019,BBRI,3.956.516.113
25/11/2019,BBRI,3.843.741.455
02/12/2019,BBRI,3.918.924.561
09/12/2019,BBRI,4.022.301.270
16/12/2019,BBRI,4.097.484.863
23/12/2019,BBRI,4.163.269.531
30/12/2019,BBRI,4.153.872.070
06/01/2020,BBRI,4.144.474.121
13/01/2020,BBRI,4.351.228.027
20/01/2020,BBRI,4.454.604.980
27/01/2020,BBRI,4.191.463.867
03/02/2020,BBRI,4.276.044.434
10/02/2020,BBRI,4.276.044.434
17/02/2020,BBRI,4.238.453.125
24/02/2020,BBRI,3.937.720.215
02/03/2020,BBRI,3.915.568.604
09/03/2020,BBRI,3.632.397.949
16/03/2020,BBRI,2.743.827.393
23/03/2020,BBRI,3.153.936.768
30/03/2020,BBRI,2.821.943.604
06/04/2020,BBRI,2.724.298.340
13/04/2020,BBRI,2.763.356.445
20/04/2020,BBRI,2.568.066.162
27/04/2020,BBRI,2.665.711.426
04/05/2020,BBRI,2.529.008.301
11/05/2020,BBRI,2.187.250.244
18/05/2020,BBRI,2.421.598.633
25/05/2020,BBRI,2.880.530.518
01/06/2020,BBRI,3.036.762.695
08/06/2020,BBRI,2.958.646.729
15/06/2020,BBRI,3.026.998.291
22/06/2020,BBRI,2.958.646.729
29/06/2020,BBRI,2.978.175.781
06/07/2020,BBRI,3.036.762.695
13/07/2020,BBRI,3.026.998.291
20/07/2020,BBRI,3.017.233.643
27/07/2020,BBRI,3.085.585.205
03/08/2020,BBRI,3.036.762.695
10/08/2020,BBRI,3.261.346.436
17/08/2020,BBRI,3.476.165.771
24/08/2020,BBRI,3.603.104.248
31/08/2020,BBRI,3.466.401.123
07/09/2020,BBRI,3.173.465.820
14/09/2020,BBRI,3.144.172.363
21/09/2020,BBRI,3.085.585.205
28/09/2020,BBRI,3.026.998.291
05/10/2020,BBRI,3.075.820.801
12/10/2020,BBRI,3.173.465.820
19/10/2020,BBRI,3.212.523.926
26/10/2020,BBRI,3.280.875.488
02/11/2020,BBRI,3.476.165.771
09/11/2020,BBRI,3.905.804.199
16/11/2020,BBRI,3.925.333.252
23/11/2020,BBRI,4.169.445.801
30/11/2020,BBRI,4.198.739.258
07/12/2020,BBRI,4.179.210.449
14/12/2020,BBRI,4.179.210.449
21/12/2020,BBRI,4.062.036.377
28/12/2020,BBRI,4.071.800.781
04/01/2021,BBRI,4.286.620.117
11/01/2021,BBRI,4.472.145.996
18/01/2021,BBRI,4.608.849.121
25/01/2021,BBRI,4.081.565.430
01/02/2021,BBRI,4.364.736.328
08/02/2021,BBRI,4.569.791.016
15/02/2021,BBRI,4.677.200.684
22/02/2021,BBRI,4.599.084.473
01/03/2021,BBRI,4.657.671.387
08/03/2021,BBRI,4.472.145.996
15/03/2021,BBRI,4.560.026.367
22/03/2021,BBRI,4.608.849.121
29/03/2021,BBRI,4.188.975.098
05/04/2021,BBRI,4.247.562.012
12/04/2021,BBRI,4.340.000.000
19/04/2021,BBRI,4.250.000.000
26/04/2021,BBRI,4.050.000.000
03/05/2021,BBRI,4.050.000.000
10/05/2021,BBRI,3.990.000.000
17/05/2021,BBRI,3.890.000.000
24/05/2021,BBRI,4.070.000.000
31/05/2021,BBRI,4.340.000.000
07/06/2021,BBRI,4.280.000.000
14/06/2021,BBRI,4.230.000.000
13/06/2016,ELSA,488.642.487
20/06/2016,ELSA,461.495.667
27/06/2016,ELSA,466.020.142
