x,y,z
0.08287,0.00488,-0.05556
0.05612,0.04369,0.00980
0.00000,0.00000,0.00000
0.00000,0.06977,0.03884
0.07246,-0.00652,-0.03738
0.09459,0.00875,0.03884
-0.02881,0.03905,0.01869
0.04661,-0.00209,-0.06422
0.06478,0.00418,0.00980
-0.03422,-0.02083,-0.00971
-0.04724,-0.01064,-0.04314
-0.04545,0.01075,-0.00410
0.06926,0.01489,-0.08642
-0.06073,0.01258,0.00450
-0.05172,0.01035,0.02242
0.06818,-0.01844,0.04825
0.00000,0.02088,0.03766
0.09787,0.00000,0.00806
0.00775,-0.00205,-0.07200
-0.01923,0.01639,-0.06034
0.00392,-0.03427,-0.00917
-0.03125,-0.03967,-0.05093
-0.04839,-0.05000,0.01463
-0.00847,0.03432,0.11538
0.02137,0.01549,-0.00862
-0.03347,-0.01743,-0.03478
-0.02165,-0.03548,-0.05856
0.05752,0.07356,0.00478
0.02929,0.03640,0.04286
0.00000,-0.01240,-0.01826
0.00000,-0.01255,-0.00930
0.10569,-0.00636,0.03756
0.07353,0.02345,-0.02262
-0.04452,0.00208,-0.01389
-0.06452,-0.02703,-0.01878
0.00383,0.02137,-0.02871
-0.09542,-0.00837,0.00493
0.00844,0.01899,-0.04902
-0.03766,0.07660,-0.00515
0.00435,0.01154,-0.01036
-0.03463,0.01981,0.01571
0.03139,0.00578,0.02062
0.00435,-0.02682,0.03535
-0.02597,0.01772,-0.05366
0.13333,-0.00193,-0.02577
0.03529,0.07946,-0.10053
0.03788,0.00718,-0.11765
-0.02555,0.03387,0.05333
-0.06367,-0.01897,-0.02532
0.09430,0.03691,-0.01299
-0.02256,-0.02542,0.00059
-0.03846,0.02087,-0.05333
-0.02000,0.03918,-0.03521
0.00000,0.00000,0.00000
-0.11837,-0.01311,0.02190
-0.00926,-0.01661,-0.00714
-0.04206,-0.00845,0.00719
-0.07805,-0.01192,-0.02143
-0.05291,0.02931,-0.09489
0.05587,0.00503,0.03226
0.05820,0.01000,-0.00781
0.04500,0.00990,0.02362
-0.03349,-0.01144,-0.02308
-0.07921,-0.00826,-0.07874
0.02151,-0.01000,0.16239
-0.01579,0.05556,0.12500
-0.03743,-0.02552,-0.00654
0.07222,0.00655,-0.02632
-0.03109,-0.00163,0.10135
-0.06952,0.01792,-0.01840
0.01149,-0.00160,-0.00625
0.01705,0.02564,-0.05031
0.03352,0.02500,0.30464
0.05405,0.00305,-0.04569
-0.04103,0.01824,0.08511
0.06952,-0.04179,-0.07843
0.01500,0.04984,-0.07447
0.06404,0.00593,0.06322
-0.06481,0.02065,-0.03784
0.18812,0.05202,0.04494
-0.08750,-0.01374,0.06452
0.10959,-0.01393,0.05051
0.02058,0.02260,0.02404
-0.04435,0.06354,0.06573
0.02954,-0.02857,-0.02203
-0.05738,-0.00802,-0.11261
0.03478,0.03504,0.09137
-0.04202,-0.01302,0.17442
0.10965,0.00000,-0.02970
-0.03953,-0.02639,-0.02041
0.03704,-0.00271,-0.02500
0.00000,-0.02174,-0.00855
0.07143,0.00000,0.00431
-0.02222,-0.03333,-0.05150
0.08333,0.05129,0.10407
0.00699,0.03099,0.00000
-0.02083,-0.04645,-0.00410
